order_id,client_id,client_type,product_name,quantity,status,revenue,waiting_time,processing_time,worker_name,message
32,10032,NORMAL,"iPhone 16",1,ACCEPTED,959.00,0.06327,0.03381,Servidor-9,"Compra completada correctamente."
77,10077,VIP,"Smart TV 55",1,ACCEPTED,649.00,0.00238,0.04761,Servidor-1,"Compra completada correctamente."
31,10031,NORMAL,"PlayStation 5",2,ACCEPTED,999.98,0.06077,0.04340,Servidor-4,"Compra completada correctamente."
34,10034,NORMAL,"Cafetera Deluxe",2,ACCEPTED,379.98,0.05965,0.04133,Servidor-2,"Compra completada correctamente."
36,10036,NORMAL,"iPhone 16",2,ACCEPTED,1918.00,0.07084,0.02848,Servidor-8,"Compra completada correctamente."
78,10078,VIP,"Smart TV 55",2,ACCEPTED,1298.00,0.00467,0.03550,Servidor-3,"Compra completada correctamente."
33,10033,NORMAL,"Kindle",2,ACCEPTED,259.98,0.06264,0.04658,Servidor-10,"Compra completada correctamente."
44,10044,NORMAL,"PlayStation 5",1,ACCEPTED,499.99,0.09171,0.01804,Servidor-4,"Compra completada correctamente."
40,10040,NORMAL,"Kindle",2,ACCEPTED,259.98,0.08176,0.03030,Servidor-7,"Compra completada correctamente."
107,10107,VIP,"AirPods Pro",1,ACCEPTED,249.00,0.00549,0.03077,Servidor-11,"Compra completada correctamente."
37,10037,NORMAL,"iPhone 16",2,ACCEPTED,1918.00,0.07319,0.04286,Servidor-6,"Compra completada correctamente."
113,10113,VIP,"AirPods Pro",1,ACCEPTED,249.00,0.00403,0.03267,Servidor-12,"Compra completada correctamente."
42,10042,NORMAL,"PlayStation 5",1,ACCEPTED,499.99,0.08357,0.03521,Servidor-1,"Compra completada correctamente."
39,10039,NORMAL,"Robot Aspirador",1,ACCEPTED,279.99,0.07226,0.06018,Servidor-5,"Compra completada correctamente."
41,10041,NORMAL,"AirPods Pro",2,ACCEPTED,498.00,0.09301,0.04880,Servidor-9,"Compra completada correctamente."
48,10048,NORMAL,"PlayStation 5",2,ACCEPTED,999.98,0.08750,0.03808,Servidor-3,"Compra completada correctamente."
45,10045,NORMAL,"Robot Aspirador",1,ACCEPTED,279.99,0.08179,0.04437,Servidor-2,"Compra completada correctamente."
120,10120,VIP,"Kindle",1,ACCEPTED,129.99,0.00024,0.03592,Servidor-7,"Compra completada correctamente."
47,10047,NORMAL,"Robot Aspirador",2,ACCEPTED,559.98,0.08929,0.05107,Servidor-8,"Compra completada correctamente."
110,10110,VIP,"Robot Aspirador",2,ACCEPTED,559.98,0.00011,0.06148,Servidor-10,"Compra completada correctamente."
124,10124,VIP,"iPhone 16",1,PAYMENT_ERROR,0.00,0.00014,0.04233,Servidor-12,"Pedido cancelado: fallo en la pasarela de pago."
112,10112,VIP,"Smart TV 55",1,ACCEPTED,649.00,0.00031,0.05372,Servidor-4,"Compra completada correctamente."
52,10052,NORMAL,"iPhone 16",2,ACCEPTED,1918.00,0.10037,0.05204,Servidor-6,"Compra completada correctamente."
51,10051,NORMAL,"Kindle",1,PAYMENT_ERROR,0.00,0.08289,0.05789,Servidor-11,"Pedido cancelado: fallo en la pasarela de pago."
53,10053,NORMAL,"Nintendo Switch",1,ACCEPTED,319.99,0.12569,0.03812,Servidor-3,"Compra completada correctamente."
143,10143,VIP,"AirPods Pro",1,ACCEPTED,249.00,0.01118,0.04102,Servidor-9,"Compra completada correctamente."
128,10128,VIP,"PlayStation 5",1,ACCEPTED,499.99,0.00800,0.05461,Servidor-1,"Compra completada correctamente."
57,10057,NORMAL,"Smart TV 55",2,ACCEPTED,1298.00,0.13438,0.01261,Servidor-6,"Compra completada correctamente."
140,10140,VIP,"AirPods Pro",1,ACCEPTED,249.00,0.00031,0.05239,Servidor-5,"Compra completada correctamente."
55,10055,NORMAL,"iPhone 16",2,ACCEPTED,1918.00,0.12027,0.03772,Servidor-8,"Compra completada correctamente."
145,10145,VIP,"Smart TV 55",2,ACCEPTED,1298.00,0.01015,0.02930,Servidor-10,"Compra completada correctamente."
54,10054,NORMAL,"iPhone 16",1,ACCEPTED,959.00,0.12805,0.04722,Servidor-7,"Compra completada correctamente."
56,10056,NORMAL,"AirPods Pro",1,ACCEPTED,249.00,0.14565,0.03461,Servidor-4,"Compra completada correctamente."
151,10151,VIP,"Smart TV 55",1,PAYMENT_ERROR,0.00,0.00275,0.04154,Servidor-12,"Pedido cancelado: fallo en la pasarela de pago."
155,10155,VIP,"PlayStation 5",1,ACCEPTED,499.99,0.00085,0.06665,Servidor-2,"Compra completada correctamente."
166,10166,VIP,"PlayStation 5",1,ACCEPTED,499.99,0.00280,0.03309,Servidor-3,"Compra completada correctamente."
157,10157,VIP,"PlayStation 5",1,ACCEPTED,499.99,0.00030,0.04408,Servidor-11,"Compra completada correctamente."
168,10168,VIP,"PlayStation 5",1,ACCEPTED,499.99,0.00699,0.03768,Servidor-9,"Compra completada correctamente."
59,10059,NORMAL,"Smart TV 55",1,ACCEPTED,649.00,0.17130,0.03359,Servidor-5,"Compra completada correctamente."
58,10058,NORMAL,"Nintendo Switch",1,ACCEPTED,319.99,0.15449,0.05069,Servidor-6,"Compra completada correctamente."
173,10173,VIP,"AirPods Pro",1,ACCEPTED,249.00,0.00290,0.05481,Servidor-1,"Compra completada correctamente."
176,10176,VIP,"PlayStation 5",1,ACCEPTED,499.99,0.00022,0.04741,Servidor-8,"Compra completada correctamente."
180,10180,VIP,"PlayStation 5",1,ACCEPTED,499.99,0.00271,0.04602,Servidor-10,"Compra completada correctamente."
60,10060,NORMAL,"Nintendo Switch",1,ACCEPTED,319.99,0.16597,0.04750,Servidor-7,"Compra completada correctamente."
63,10063,NORMAL,"Robot Aspirador",2,ACCEPTED,559.98,0.16646,0.04060,Servidor-12,"Compra completada correctamente."
65,10065,NORMAL,"iPhone 16",1,ACCEPTED,959.00,0.18594,0.04051,Servidor-2,"Compra completada correctamente."
62,10062,NORMAL,"Nintendo Switch",2,ACCEPTED,639.98,0.17067,0.05601,Servidor-4,"Compra completada correctamente."
67,10067,NORMAL,"MacBook Air",1,ACCEPTED,1199.00,0.17325,0.04448,Servidor-11,"Compra completada correctamente."
66,10066,NORMAL,"Cafetera Deluxe",1,ACCEPTED,189.99,0.16623,0.05542,Servidor-3,"Compra completada correctamente."
69,10069,NORMAL,"Smart TV 55",2,ACCEPTED,1298.00,0.17465,0.04360,Servidor-5,"Compra completada correctamente."
68,10068,NORMAL,"PlayStation 5",2,ACCEPTED,999.98,0.17354,0.05580,Servidor-9,"Compra completada correctamente."
221,10221,VIP,"Smart TV 55",2,ACCEPTED,1298.00,0.00182,0.04005,Servidor-8,"Compra completada correctamente."
222,10222,VIP,"Nintendo Switch",2,ACCEPTED,639.98,0.00548,0.02609,Servidor-4,"Compra completada correctamente."
70,10070,NORMAL,"AirPods Pro",2,PAYMENT_ERROR,0.00,0.18045,0.05447,Servidor-6,"Pedido cancelado: fallo en la pasarela de pago."
227,10227,VIP,"iPhone 16",1,ACCEPTED,959.00,0.00677,0.04294,Servidor-12,"Compra completada correctamente."
216,10216,VIP,"AirPods Pro",1,ACCEPTED,249.00,0.00192,0.04800,Servidor-7,"Compra completada correctamente."
72,10072,NORMAL,"Smart TV 55",1,ACCEPTED,649.00,0.18325,0.05457,Servidor-10,"Compra completada correctamente."
225,10225,VIP,"iPhone 16",1,ACCEPTED,959.00,0.00014,0.04308,Servidor-11,"Compra completada correctamente."
214,10214,VIP,"AirPods Pro",1,ACCEPTED,249.00,0.00026,0.06954,Servidor-1,"Compra completada correctamente."
211,10211,VIP,"Kindle",1,ACCEPTED,129.99,0.00016,0.06072,Servidor-2,"Compra completada correctamente."
73,10073,NORMAL,"PlayStation 5",1,ACCEPTED,499.99,0.21426,0.04819,Servidor-5,"Compra completada correctamente."
239,10239,VIP,"MacBook Air",1,ACCEPTED,1199.00,0.00908,0.04837,Servidor-3,"Compra completada correctamente."
231,10231,VIP,"Nintendo Switch",1,ACCEPTED,319.99,0.00718,0.04475,Servidor-9,"Compra completada correctamente."
75,10075,NORMAL,"Nintendo Switch",2,ACCEPTED,639.98,0.22014,0.04525,Servidor-8,"Compra completada correctamente."
242,10242,VIP,"PlayStation 5",1,ACCEPTED,499.99,0.00109,0.03780,Servidor-4,"Compra completada correctamente."
76,10076,NORMAL,"AirPods Pro",1,ACCEPTED,249.00,0.23060,0.03655,Servidor-6,"Compra completada correctamente."
80,10080,NORMAL,"iPhone 16",1,ACCEPTED,959.00,0.23819,0.03595,Servidor-12,"Compra completada correctamente."
82,10082,NORMAL,"PlayStation 5",2,ACCEPTED,999.98,0.23386,0.03940,Servidor-10,"Compra completada correctamente."
81,10081,NORMAL,"iPhone 16",2,ACCEPTED,1918.00,0.22543,0.05018,Servidor-7,"Compra completada correctamente."
247,10247,VIP,"MacBook Air",1,ACCEPTED,1199.00,0.00865,0.03979,Servidor-11,"Compra completada correctamente."
262,10262,VIP,"iPhone 16",1,ACCEPTED,959.00,0.00844,0.03808,Servidor-2,"Compra completada correctamente."
249,10249,VIP,"PlayStation 5",2,ACCEPTED,999.98,0.00560,0.04563,Servidor-1,"Compra completada correctamente."
84,10084,NORMAL,"Kindle",1,ACCEPTED,129.99,0.25140,0.03812,Servidor-9,"Compra completada correctamente."
255,10255,VIP,"AirPods Pro",1,ACCEPTED,249.00,0.00021,0.04773,Servidor-5,"Compra completada correctamente."
86,10086,NORMAL,"Smart TV 55",1,ACCEPTED,649.00,0.26330,0.04323,Servidor-4,"Compra completada correctamente."
83,10083,NORMAL,"MacBook Air",2,ACCEPTED,2398.00,0.26253,0.05404,Servidor-3,"Compra completada correctamente."
85,10085,NORMAL,"Nintendo Switch",1,ACCEPTED,319.99,0.24829,0.05373,Servidor-8,"Compra completada correctamente."
88,10088,NORMAL,"Smart TV 55",1,ACCEPTED,649.00,0.25803,0.05021,Servidor-12,"Compra completada correctamente."
284,10284,VIP,"Kindle",2,ACCEPTED,259.98,0.00328,0.03585,Servidor-7,"Compra completada correctamente."
87,10087,NORMAL,"PlayStation 5",1,ACCEPTED,499.99,0.24365,0.05960,Servidor-6,"Compra completada correctamente."
89,10089,NORMAL,"Nintendo Switch",2,ACCEPTED,639.98,0.27118,0.05861,Servidor-10,"Compra completada correctamente."
90,10090,NORMAL,"PlayStation 5",1,ACCEPTED,499.99,0.26834,0.04966,Servidor-11,"Compra completada correctamente."
92,10092,NORMAL,"Nintendo Switch",1,ACCEPTED,319.99,0.28324,0.04576,Servidor-1,"Compra completada correctamente."
93,10093,NORMAL,"Nintendo Switch",1,ACCEPTED,319.99,0.27911,0.03804,Servidor-5,"Compra completada correctamente."
91,10091,NORMAL,"iPhone 16",1,ACCEPTED,959.00,0.26322,0.05636,Servidor-2,"Compra completada correctamente."
289,10289,VIP,"Nintendo Switch",1,ACCEPTED,319.99,0.00366,0.05350,Servidor-9,"Compra completada correctamente."
291,10291,VIP,"Cafetera Deluxe",2,ACCEPTED,379.98,0.00052,0.05547,Servidor-4,"Compra completada correctamente."
295,10295,VIP,"Nintendo Switch",1,ACCEPTED,319.99,0.00064,0.05514,Servidor-3,"Compra completada correctamente."
310,10310,VIP,"AirPods Pro",1,ACCEPTED,249.00,0.00328,0.05075,Servidor-8,"Compra completada correctamente."
306,10306,VIP,"PlayStation 5",2,ACCEPTED,999.98,0.00032,0.05303,Servidor-12,"Compra completada correctamente."
318,10318,VIP,"Robot Aspirador",2,ACCEPTED,559.98,0.00197,0.04188,Servidor-11,"Compra completada correctamente."
329,10329,VIP,"PlayStation 5",1,ACCEPTED,499.99,0.00226,0.05665,Servidor-7,"Compra completada correctamente."
320,10320,VIP,"Nintendo Switch",1,ACCEPTED,319.99,0.00747,0.04175,Servidor-1,"Compra completada correctamente."
94,10094,NORMAL,"AirPods Pro",2,ACCEPTED,498.00,0.30576,0.05746,Servidor-6,"Compra completada correctamente."
330,10330,VIP,"AirPods Pro",1,ACCEPTED,249.00,0.00384,0.04563,Servidor-2,"Compra completada correctamente."
314,10314,VIP,"MacBook Air",1,ACCEPTED,1199.00,0.00717,0.05855,Servidor-10,"Compra completada correctamente."
321,10321,VIP,"Smart TV 55",2,ACCEPTED,1298.00,0.00414,0.05629,Servidor-5,"Compra completada correctamente."
338,10338,VIP,"iPhone 16",1,ACCEPTED,959.00,0.00220,0.04630,Servidor-9,"Compra completada correctamente."
95,10095,NORMAL,"iPhone 16",2,ACCEPTED,1918.00,0.36333,0.03590,Servidor-12,"Compra completada correctamente."
331,10331,VIP,"MacBook Air",2,ACCEPTED,2398.00,0.00341,0.04711,Servidor-4,"Compra completada correctamente."
359,10359,VIP,"PlayStation 5",1,ACCEPTED,499.99,0.01365,0.04467,Servidor-8,"Compra completada correctamente."
97,10097,NORMAL,"PlayStation 5",1,PAYMENT_ERROR,0.00,0.34588,0.03987,Servidor-7,"Pedido cancelado: fallo en la pasarela de pago."
96,10096,NORMAL,"Kindle",1,ACCEPTED,129.99,0.35193,0.04299,Servidor-11,"Compra completada correctamente."
333,10333,VIP,"Nintendo Switch",1,ACCEPTED,319.99,0.00527,0.05479,Servidor-3,"Compra completada correctamente."
99,10099,NORMAL,"iPhone 16",2,ACCEPTED,1918.00,0.35314,0.04020,Servidor-6,"Compra completada correctamente."
372,10372,VIP,"Nintendo Switch",1,ACCEPTED,319.99,0.00833,0.01822,Servidor-12,"Compra completada correctamente."
360,10360,VIP,"iPhone 16",2,ACCEPTED,1918.00,0.00387,0.03276,Servidor-2,"Compra completada correctamente."
370,10370,VIP,"PlayStation 5",2,PAYMENT_ERROR,0.00,0.00457,0.04051,Servidor-10,"Pedido cancelado: fallo en la pasarela de pago."
101,10101,NORMAL,"MacBook Air",2,ACCEPTED,2398.00,0.38527,0.03572,Servidor-9,"Compra completada correctamente."
100,10100,NORMAL,"Kindle",1,ACCEPTED,129.99,0.36987,0.04518,Servidor-5,"Compra completada correctamente."
378,10378,VIP,"MacBook Air",2,ACCEPTED,2398.00,0.00258,0.03364,Servidor-4,"Compra completada correctamente."
98,10098,NORMAL,"iPhone 16",1,ACCEPTED,959.00,0.36032,0.06717,Servidor-1,"Compra completada correctamente."
380,10380,VIP,"Kindle",1,ACCEPTED,129.99,0.00330,0.03890,Servidor-8,"Compra completada correctamente."
367,10367,VIP,"Smart TV 55",1,ACCEPTED,649.00,0.00385,0.03849,Servidor-7,"Compra completada correctamente."
103,10103,NORMAL,"Robot Aspirador",2,ACCEPTED,559.98,0.38831,0.03861,Servidor-12,"Compra completada correctamente."
401,10401,VIP,"iPhone 16",2,ACCEPTED,1918.00,0.00691,0.04417,Servidor-3,"Compra completada correctamente."
375,10375,VIP,"MacBook Air",1,ACCEPTED,1199.00,0.00105,0.04782,Servidor-11,"Compra completada correctamente."
102,10102,NORMAL,"Kindle",2,ACCEPTED,259.98,0.38676,0.04514,Servidor-6,"Compra completada correctamente."
385,10385,VIP,"Nintendo Switch",2,ACCEPTED,639.98,0.00021,0.03975,Servidor-10,"Compra completada correctamente."
406,10406,VIP,"iPhone 16",1,ACCEPTED,959.00,0.00704,0.03589,Servidor-5,"Compra completada correctamente."
105,10105,NORMAL,"AirPods Pro",2,ACCEPTED,498.00,0.39819,0.04550,Servidor-9,"Compra completada correctamente."
104,10104,NORMAL,"PlayStation 5",1,ACCEPTED,499.99,0.39416,0.05406,Servidor-2,"Compra completada correctamente."
402,10402,VIP,"Kindle",1,ACCEPTED,129.99,0.00018,0.03562,Servidor-1,"Compra completada correctamente."
114,10114,NORMAL,"iPhone 16",1,ACCEPTED,959.00,0.41377,0.02336,Servidor-3,"Compra completada correctamente."
106,10106,NORMAL,"iPhone 16",2,ACCEPTED,1918.00,0.40344,0.05116,Servidor-4,"Compra completada correctamente."
109,10109,NORMAL,"MacBook Air",1,ACCEPTED,1199.00,0.41224,0.04123,Servidor-7,"Compra completada correctamente."
111,10111,NORMAL,"PlayStation 5",2,ACCEPTED,999.98,0.42145,0.03576,Servidor-12,"Compra completada correctamente."
108,10108,NORMAL,"MacBook Air",2,ACCEPTED,2398.00,0.40404,0.05066,Servidor-8,"Compra completada correctamente."
116,10116,NORMAL,"PlayStation 5",1,ACCEPTED,499.99,0.42588,0.03261,Servidor-10,"Compra completada correctamente."
420,10420,VIP,"MacBook Air",2,ACCEPTED,2398.00,0.00135,0.03922,Servidor-11,"Compra completada correctamente."
115,10115,NORMAL,"Nintendo Switch",2,ACCEPTED,639.98,0.41553,0.04760,Servidor-6,"Compra completada correctamente."
118,10118,NORMAL,"PlayStation 5",1,ACCEPTED,499.99,0.42044,0.03732,Servidor-2,"Compra completada correctamente."
117,10117,NORMAL,"iPhone 16",1,ACCEPTED,959.00,0.42713,0.04171,Servidor-5,"Compra completada correctamente."
122,10122,NORMAL,"PlayStation 5",1,ACCEPTED,499.99,0.44131,0.03503,Servidor-4,"Compra completada correctamente."
415,10415,VIP,"AirPods Pro",1,ACCEPTED,249.00,0.00012,0.05027,Servidor-9,"Compra completada correctamente."
119,10119,NORMAL,"PlayStation 5",1,ACCEPTED,499.99,0.44429,0.04732,Servidor-1,"Compra completada correctamente."
121,10121,NORMAL,"Nintendo Switch",2,ACCEPTED,639.98,0.42622,0.04901,Servidor-3,"Compra completada correctamente."
440,10440,VIP,"Robot Aspirador",1,ACCEPTED,279.99,0.00285,0.03707,Servidor-12,"Compra completada correctamente."
126,10126,NORMAL,"MacBook Air",2,ACCEPTED,2398.00,0.44550,0.03741,Servidor-10,"Compra completada correctamente."
123,10123,NORMAL,"Cafetera Deluxe",2,ACCEPTED,379.98,0.43296,0.04982,Servidor-7,"Compra completada correctamente."
444,10444,VIP,"iPhone 16",1,ACCEPTED,959.00,0.00052,0.03999,Servidor-11,"Compra completada correctamente."
125,10125,NORMAL,"Smart TV 55",2,ACCEPTED,1298.00,0.45304,0.05163,Servidor-8,"Compra completada correctamente."
445,10445,VIP,"iPhone 16",1,ACCEPTED,959.00,0.00641,0.04362,Servidor-6,"Compra completada correctamente."
458,10458,VIP,"Nintendo Switch",1,ACCEPTED,319.99,0.00167,0.04500,Servidor-2,"Compra completada correctamente."
456,10456,VIP,"Nintendo Switch",2,ACCEPTED,639.98,0.00208,0.04283,Servidor-5,"Compra completada correctamente."
130,10130,NORMAL,"MacBook Air",2,ACCEPTED,2398.00,0.45915,0.03437,Servidor-9,"Compra completada correctamente."
135,10135,NORMAL,"PlayStation 5",2,ACCEPTED,999.98,0.46303,0.02773,Servidor-10,"Compra completada correctamente."
503,10503,VIP,"MacBook Air",1,ACCEPTED,1199.00,0.00133,0.03291,Servidor-7,"Compra completada correctamente."
127,10127,NORMAL,"PlayStation 5",2,ACCEPTED,999.98,0.45681,0.05017,Servidor-4,"Compra completada correctamente."
134,10134,NORMAL,"AirPods Pro",1,ACCEPTED,249.00,0.47020,0.04520,Servidor-12,"Compra completada correctamente."
131,10131,NORMAL,"Nintendo Switch",2,ACCEPTED,639.98,0.46832,0.05770,Servidor-1,"Compra completada correctamente."
137,10137,NORMAL,"MacBook Air",2,ACCEPTED,2398.00,0.48981,0.03434,Servidor-8,"Compra completada correctamente."
133,10133,NORMAL,"iPhone 16",1,ACCEPTED,959.00,0.45017,0.05518,Servidor-3,"Compra completada correctamente."
139,10139,NORMAL,"PlayStation 5",2,ACCEPTED,999.98,0.47320,0.03425,Servidor-5,"Compra completada correctamente."
136,10136,NORMAL,"PlayStation 5",2,ACCEPTED,999.98,0.46656,0.05279,Servidor-11,"Compra completada correctamente."
146,10146,NORMAL,"AirPods Pro",2,ACCEPTED,498.00,0.49005,0.02568,Servidor-4,"Compra completada correctamente."
138,10138,NORMAL,"MacBook Air",1,ACCEPTED,1199.00,0.48434,0.04375,Servidor-2,"Compra completada correctamente."
142,10142,NORMAL,"iPhone 16",1,ACCEPTED,959.00,0.47317,0.05115,Servidor-9,"Compra completada correctamente."
500,10500,VIP,"PlayStation 5",1,ACCEPTED,499.99,0.00069,0.04415,Servidor-10,"Compra completada correctamente."
147,10147,NORMAL,"iPhone 16",1,ACCEPTED,959.00,0.49099,0.03850,Servidor-12,"Compra completada correctamente."
515,10515,VIP,"PlayStation 5",1,ACCEPTED,499.99,0.00244,0.06172,Servidor-6,"Compra completada correctamente."
144,10144,NORMAL,"iPhone 16",1,ACCEPTED,959.00,0.48973,0.04400,Servidor-7,"Compra completada correctamente."
149,10149,NORMAL,"Smart TV 55",2,ACCEPTED,1298.00,0.51331,0.04261,Servidor-8,"Compra completada correctamente."
154,10154,NORMAL,"Nintendo Switch",1,ACCEPTED,319.99,0.49925,0.03332,Servidor-4,"Compra completada correctamente."
148,10148,NORMAL,"MacBook Air",2,ACCEPTED,2398.00,0.48402,0.05330,Servidor-1,"Compra completada correctamente."
153,10153,NORMAL,"Smart TV 55",1,ACCEPTED,649.00,0.50155,0.04121,Servidor-11,"Compra completada correctamente."
158,10158,NORMAL,"iPhone 16",2,ACCEPTED,1918.00,0.49813,0.04268,Servidor-2,"Compra completada correctamente."
150,10150,NORMAL,"Smart TV 55",1,ACCEPTED,649.00,0.49076,0.05664,Servidor-3,"Compra completada correctamente."
152,10152,NORMAL,"Smart TV 55",1,ACCEPTED,649.00,0.49472,0.05050,Servidor-5,"Compra completada correctamente."
532,10532,VIP,"AirPods Pro",1,ACCEPTED,249.00,0.00390,0.03829,Servidor-9,"Compra completada correctamente."
160,10160,NORMAL,"PlayStation 5",2,ACCEPTED,999.98,0.51035,0.03781,Servidor-12,"Compra completada correctamente."
159,10159,NORMAL,"Smart TV 55",1,ACCEPTED,649.00,0.50819,0.04736,Servidor-10,"Compra completada correctamente."
536,10536,VIP,"MacBook Air",2,ACCEPTED,2398.00,0.00285,0.04183,Servidor-7,"Compra completada correctamente."
161,10161,NORMAL,"PlayStation 5",2,ACCEPTED,999.98,0.52820,0.04848,Servidor-6,"Compra completada correctamente."
162,10162,NORMAL,"Smart TV 55",1,ACCEPTED,649.00,0.53029,0.03051,Servidor-4,"Compra completada correctamente."
542,10542,VIP,"PlayStation 5",1,ACCEPTED,499.99,0.00175,0.04074,Servidor-8,"Compra completada correctamente."
164,10164,NORMAL,"PlayStation 5",2,ACCEPTED,999.98,0.52818,0.03641,Servidor-11,"Compra completada correctamente."
163,10163,NORMAL,"Cafetera Deluxe",2,ACCEPTED,379.98,0.51644,0.04656,Servidor-1,"Compra completada correctamente."
170,10170,NORMAL,"Nintendo Switch",2,PAYMENT_ERROR,0.00,0.53294,0.03904,Servidor-9,"Pedido cancelado: fallo en la pasarela de pago."
165,10165,NORMAL,"Nintendo Switch",1,ACCEPTED,319.99,0.52955,0.04623,Servidor-2,"Compra completada correctamente."
167,10167,NORMAL,"iPhone 16",1,ACCEPTED,959.00,0.54387,0.04628,Servidor-3,"Compra completada correctamente."
169,10169,NORMAL,"MacBook Air",2,ACCEPTED,2398.00,0.51292,0.04607,Servidor-5,"Compra completada correctamente."
175,10175,NORMAL,"Robot Aspirador",1,ACCEPTED,279.99,0.52711,0.03701,Servidor-7,"Compra completada correctamente."
177,10177,NORMAL,"AirPods Pro",2,ACCEPTED,498.00,0.53351,0.03475,Servidor-6,"Compra completada correctamente."
172,10172,NORMAL,"PlayStation 5",2,ACCEPTED,999.98,0.53911,0.04690,Servidor-10,"Compra completada correctamente."
179,10179,NORMAL,"Kindle",2,ACCEPTED,259.98,0.54925,0.04092,Servidor-8,"Compra completada correctamente."
171,10171,NORMAL,"Smart TV 55",1,ACCEPTED,649.00,0.52552,0.05469,Servidor-12,"Compra completada correctamente."
